test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapLSGet 500000 2653 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.331s 1000
BenchmarkHashMapLSGet 500000 2588 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.323s 1000
BenchmarkHashMapLSGet 500000 2681 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.276s 1000
BenchmarkHashMapLSGet 500000 2658 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2545 ns/op 256 B/op 5 allocs/op ok command-line-arguments 2.287s 1000
BenchmarkHashMapLSGet 500000 2535 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.257s 1000
BenchmarkHashMapLSGet 500000 2605 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.269s 1000
BenchmarkHashMapLSGet 500000 2511 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.209s 1000
BenchmarkHashMapLSGet 500000 2586 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.278s 1000
BenchmarkHashMapLSGet 500000 2632 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.259s 1000
BenchmarkHashMapLSGet 500000 2573 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.246s 1000
BenchmarkHashMapLSGet 500000 2606 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.254s 1000
BenchmarkHashMapLSGet 500000 2588 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.293s 1000
BenchmarkHashMapLSGet 500000 2663 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.289s 1000
BenchmarkHashMapLSGet 500000 2634 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.299s 1000
BenchmarkHashMapLSGet 500000 2563 ns/op 270 B/op 5 allocs/op ok command-line-arguments 2.255s 1000
BenchmarkHashMapLSGet 500000 2705 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.287s 1000
BenchmarkHashMapLSGet 500000 2609 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.243s 1000
BenchmarkHashMapLSGet 500000 2688 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.355s 1000
BenchmarkHashMapLSGet 500000 2590 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.300s 1000
BenchmarkHashMapLSGet 500000 2681 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2607 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.298s 1000
BenchmarkHashMapLSGet 500000 2703 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.312s 1000
BenchmarkHashMapLSGet 500000 2567 ns/op 268 B/op 5 allocs/op ok command-line-arguments 2.244s 1000
BenchmarkHashMapLSGet 500000 2600 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.248s 1000
BenchmarkHashMapLSGet 500000 2605 ns/op 269 B/op 5 allocs/op ok command-line-arguments 2.331s 1000
BenchmarkHashMapLSGet 500000 2602 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.247s 1000
BenchmarkHashMapLSGet 500000 2639 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.327s 1000
BenchmarkHashMapLSGet 500000 2699 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.300s 1000
BenchmarkHashMapLSGet 500000 2634 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2763 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.344s 1000
BenchmarkHashMapLSGet 500000 2678 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.340s 1000
