test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapGet 500000 2500 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.212s 100
BenchmarkHashMapGet 500000 2487 ns/op 255 B/op 4 allocs/op ok command-line-arguments 2.142s 100
BenchmarkHashMapGet 500000 2524 ns/op 255 B/op 4 allocs/op ok command-line-arguments 2.192s 100
BenchmarkHashMapGet 500000 2558 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.187s 100
BenchmarkHashMapGet 500000 2541 ns/op 259 B/op 4 allocs/op ok command-line-arguments 2.180s 100
BenchmarkHashMapGet 500000 2480 ns/op 256 B/op 4 allocs/op ok command-line-arguments 2.168s 100
BenchmarkHashMapGet 500000 2499 ns/op 250 B/op 4 allocs/op ok command-line-arguments 2.170s 100
BenchmarkHashMapGet 500000 2525 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.204s 100
BenchmarkHashMapGet 500000 2548 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.195s 100
BenchmarkHashMapGet 500000 2535 ns/op 250 B/op 4 allocs/op ok command-line-arguments 2.183s 100
BenchmarkHashMapGet 500000 2480 ns/op 258 B/op 4 allocs/op ok command-line-arguments 2.148s 100
BenchmarkHashMapGet 500000 2517 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.180s 100
BenchmarkHashMapGet 500000 2434 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.194s 100
BenchmarkHashMapGet 500000 2466 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.223s 100
BenchmarkHashMapGet 500000 2524 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.209s 100
BenchmarkHashMapGet 500000 2411 ns/op 255 B/op 4 allocs/op ok command-line-arguments 2.135s 100
BenchmarkHashMapGet 500000 2582 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.218s 100
BenchmarkHashMapGet 500000 2516 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.151s 100
BenchmarkHashMapGet 500000 2420 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.095s 100
BenchmarkHashMapGet 500000 2409 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.122s 100
BenchmarkHashMapGet 500000 2526 ns/op 247 B/op 4 allocs/op ok command-line-arguments 2.195s 100
BenchmarkHashMapGet 500000 2564 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.233s 100
BenchmarkHashMapGet 500000 2529 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.202s 100
BenchmarkHashMapGet 500000 2491 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.181s 100
BenchmarkHashMapGet 500000 2474 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.155s 100
BenchmarkHashMapGet 500000 2433 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.119s 100
BenchmarkHashMapGet 500000 2445 ns/op 257 B/op 4 allocs/op ok command-line-arguments 2.129s 100
BenchmarkHashMapGet 500000 2476 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.125s 100
BenchmarkHashMapGet 500000 2498 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.184s 100
BenchmarkHashMapGet 500000 2382 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.088s 100
BenchmarkHashMapGet 500000 2514 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.175s 1000
